State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,Migrated_Other,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,Total
Andaman and Nicobar Islands,7651,7518,129,4,13/08/2021 23:27:22,0,AN,0,0,0,34285612
Andhra Pradesh,2066450,2047722,14373,4355,13/08/2021 23:27:22,0,AP,0,0,0,33661339
Arunachal Pradesh,55155,54774,280,101,13/08/2021 23:27:22,0,AR,0,0,0,458470
Assam,610645,600974,5997,2327,13/08/2021 23:27:22,1347,AS,0,0,0,152606
Bihar,726098,716390,9661,46,13/08/2021 23:27:22,1,BR,0,0,0,
Chhattisgarh,1006052,992159,13577,316,13/08/2021 23:27:22,0,CT,0,0,0,
Delhi,1439870,1414431,25091,348,13/08/2021 23:27:22,0,DL,0,0,0,
Goa,178108,174392,3364,352,13/08/2021 23:27:22,0,GA,0,0,0,
Gujarat,826577,816283,10089,205,13/08/2021 23:27:22,0,GJ,0,0,0,
Haryana,771252,761068,10049,135,13/08/2021 23:27:22,0,HR,0,0,0,
Himachal Pradesh,224106,218410,3738,1942,13/08/2021 23:27:22,16,HP,0,0,0,
Jammu and Kashmir,332249,326915,4432,902,13/08/2021 23:27:22,0,JK,0,0,0,
Jharkhand,348764,343518,5138,108,13/08/2021 23:27:22,0,JH,0,0,0,
Karnataka,2988333,2941578,38082,8644,13/08/2021 23:27:22,29,KA,0,0,0,
Kerala,4968657,4857181,31681,79266,13/08/2021 23:27:22,529,KL,0,0,0,
Lakshadweep,10365,10270,51,0,13/08/2021 23:27:22,44,LD,0,0,0,
Madhya Pradesh,792854,782215,10524,115,13/08/2021 23:27:22,0,MP,0,0,0,
Maharashtra,6611078,6450585,140216,16658,13/08/2021 23:27:22,3619,MH,0,0,0,
Manipur,123731,121102,1921,708,13/08/2021 23:27:22,0,MN,0,0,0,
Meghalaya,83627,81746,1450,431,13/08/2021 23:27:22,0,ML,0,0,0,
Mizoram,121359,114612,432,6315,13/08/2021 23:27:22,0,MZ,0,0,0,
Nagaland,31842,29904,685,210,13/08/2021 23:27:22,1043,NL,0,0,0,
Odisha,1041457,1029147,8386,3924,13/08/2021 23:27:22,0,OR,0,0,0,
Punjab,602401,585591,16559,251,13/08/2021 23:27:22,0,PB,0,0,0,
Rajasthan,954429,945443,8954,32,13/08/2021 23:27:22,0,RJ,0,0,0,
Sikkim,31979,31063,396,195,13/08/2021 23:27:22,325,SK,0,0,0,
Tamil Nadu,2702623,2655015,36116,11492,13/08/2021 23:27:22,0,TN,0,0,0,
Telangana,671463,663498,3956,4009,13/08/2021 23:27:22,0,TG,0,0,0,
Tripura,84468,83466,813,126,13/08/2021 23:27:22,63,TR,0,0,0,
Uttar Pradesh,1710158,1687151,22900,107,13/08/2021 23:27:22,0,UP,0,0,0,
Uttarakhand,343896,330195,7400,151,13/08/2021 23:27:22,6150,UT,0,0,0,
West Bengal,1592908,1565471,19141,8296,13/08/2021 23:27:22,0,WB,0,0,0,